UFNUMB,CommonName,Family,Genus,Species,Subspecies,Preparations,Country,State,County,Latitude1,Longitude1,image
28022,,PYCNONOTIDAE,BLEDA,SYNDACTYLUS,WOOSNAMI,C SKEL - 1,KENYA,WESTERN PROVINCE,KAKAMEGA DISTRICT,0.25,34.8333333,
28023,,PYCNONOTIDAE,BLEDA,SYNDACTYLUS,WOOSNAMI,C SKEL - 1,KENYA,WESTERN PROVINCE,KAKAMEGA DISTRICT,0.25,34.8333333,
28024,,PYCNONOTIDAE,IXOS,PHILIPPINUS,GUIMARASENSIS,C SKEL - 1,PHILIPPINES,NEGROS ORIENTAL PROVINCE,,,,
28025,,PYCNONOTIDAE,IXOS,PHILIPPINUS,GUIMARASENSIS,C SKEL - 1,PHILIPPINES,NEGROS ORIENTAL PROVINCE,,,,
34176,Straw-headed Bulbul,PYCNONOTIDAE,PYCNONOTUS,ZEYLANICUS,,P SKEL - 1,THAILAND,,,,,
34177,Straw-headed Bulbul,PYCNONOTIDAE,PYCNONOTUS,ZEYLANICUS,,P SKEL - 1,THAILAND,,,,,
34449,,PYCNONOTIDAE,PYCNONOTUS,BARBATUS,TRICOLOR,C SKEL - 1,KENYA,CENTRAL PROVINCE,NYERI DISTRICT,,,
34450,,PYCNONOTIDAE,ANDROPADUS,IMPORTUNUS,INSULARIS,P SKEL - 1,TANZANIA,IRINGA PROVINCE,,,,
34451,,PYCNONOTIDAE,PYRRHURUS,SCANDENS,SCANDENS,C SKEL - 1,GHANA,CENTRAL,,,,
34901,,PYCNONOTIDAE,PYCNONOTUS,BARBATUS,DODSONI,STUDY - 1,KENYA,RIFT VALLEY PROVINCE,TURKANA DISTRICT,2.5833333,36.4166667,
34902,,PYCNONOTIDAE,PYCNONOTUS,BARBATUS,DODSONI,STUDY - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,,,
34903,,PYCNONOTIDAE,PYCNONOTUS,BARBATUS,TRICOLOR,STUDY - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,,,
34904,,PYCNONOTIDAE,PYCNONOTUS,BARBATUS,DODSONI,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
34905,,PYCNONOTIDAE,PYCNONOTUS,BARBATUS,DODSONI,STUDY - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,,,
34906,,PYCNONOTIDAE,PYCNONOTUS,UROSTICTUS,PHILIPPENSIS,STUDY - 1,PHILIPPINES,DAVAO ORIENTAL PROVINCE,,,,
34907,,PYCNONOTIDAE,PYCNONOTUS,UROSTICTUS,PHILIPPENSIS,STUDY - 1,PHILIPPINES,DAVAO ORIENTAL PROVINCE,,,,
34908,,PYCNONOTIDAE,PYCNONOTUS,GOIAVIER,GOIAVIER,STUDY - 1,PHILIPPINES,NEGROS ORIENTAL PROVINCE,,,,
34909,,PYCNONOTIDAE,PYCNONOTUS,GOIAVIER,GOIAVIER,STUDY - 1,PHILIPPINES,NEGROS ORIENTAL PROVINCE,,,,
34910,,PYCNONOTIDAE,PYCNONOTUS,BARBATUS,TRICOLOR,STUDY - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,,,
34911,,PYCNONOTIDAE,PYCNONOTUS,LEUCOGENYS,MESOPOTAMIAE,STUDY - 1,IRAQ,BAGHDAD,,,,
34912,,PYCNONOTIDAE,HYPSIPETES,MADAGASCARIENSIS,MADAGASCARIENSIS,STUDY - 1,MADAGASCAR,,,,,
35018,,PYCNONOTIDAE,ANDROPADUS,MILANJENSIS,STRIIFACIES,STUDY - 1,KENYA,WESTERN PROVINCE,,,,
35019,,PYCNONOTIDAE,CHLOROCICHLA,FLAVIVENTRIS,CENTRALIS,STUDY - 1,KENYA,,,,,
35020,,PYCNONOTIDAE,IXOS,PHILIPPINUS,GUIMARASENSIS,STUDY - 1,PHILIPPINES,NEGROS ORIENTAL PROVINCE,,,,
35021,,PYCNONOTIDAE,IXOS,PHILIPPINUS,GUIMARASENSIS,STUDY - 1,PHILIPPINES,NEGROS ORIENTAL PROVINCE,,,,
35022,,PYCNONOTIDAE,BLEDA,SYNDACTYLUS,WOOSNAMI,STUDY - 1,KENYA,WESTERN PROVINCE,KAKAMEGA DISTRICT,0.25,34.8333333,
35023,,PYCNONOTIDAE,CHLOROCICHLA,FLAVIVENTRIS,CENTRALIS,STUDY - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,,,
35024,,PYCNONOTIDAE,CHLOROCICHLA,FLAVIVENTRIS,CENTRALIS,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
35025,,PYCNONOTIDAE,CHLOROCICHLA,FLAVIVENTRIS,CENTRALIS,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
35026,,PYCNONOTIDAE,CRINIGER,PALLIDUS,ANNAMENSIS,STUDY - 1,VIETNAM,,,,,
35027,,PYCNONOTIDAE,PHYLLASTREPHUS,FLAVOSTRIATUS,TENUIROSTRIS,STUDY - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,,,
35028,,PYCNONOTIDAE,PHYLLASTREPHUS,FLAVOSTRIATUS,TENUIROSTRIS,STUDY - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,,,
35029,,PYCNONOTIDAE,PHYLLASTREPHUS,TERRESTRIS,SUAHELICUS,STUDY - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,,,
35030,,PYCNONOTIDAE,PHYLLASTREPHUS,CERVINIVENTRIS,,STUDY - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,,,
35031,,PYCNONOTIDAE,PHYLLASTREPHUS,TERRESTRIS,SUAHELICUS,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
